Country;geo;region;island;c2020
Burundi;africa;east;no;11890781
Comoros;africa;east;no;869595
Djibouti;africa;east;no;988002
Eritrea;africa;east;no;3546427
Ethiopia;africa;east;no;114963583
Kenya;africa;east;no;53771300
Madagascar;africa;east;no;27691019
Malawi;africa;east;no;19129955
Mauritius;africa;east;no;1271767
Mayotte;africa;east;no;272813
Mozambique;africa;east;no;31255435
Réunion;africa;east;no;895308
Rwanda;africa;east;no;12952209
Seychelles;africa;east;no;98340
Somalia;africa;east;no;15893219
South Sudan;africa;east;no;11193729
Uganda;africa;east;no;45741000
United Republic Of Tanzania;africa;east;no;59734213
Zambia;africa;east;no;18383956
Zimbabwe;africa;east;no;14862927
Angola;africa;middle;no;32866267
Cameroon;africa;middle;no;26545864
Central African Republic;africa;middle;no;4829764
Chad;africa;middle;no;16425859
Congo;africa;middle;no;5518092
Democratic Republic Of The Congo;africa;middle;no;89561404
Equatorial Guinea;africa;middle;no;1402985
Gabon;africa;middle;no;2225728
Sao Tome And Principe;africa;middle;no;219161
Botswana;africa;south;no;2351625
Eswatini;africa;south;no;1160164
Lesotho;africa;south;no;2142252
Namibia;africa;south;no;2540916
South Africa;africa;south;no;59308690
Benin;africa;west;no;12123198
Burkina Faso;africa;west;no;20903278
Cabo Verde;africa;west;no;555988
Côte D'Ivoire;africa;west;no;26378275
Gambia;africa;west;no;2416664
Ghana;africa;west;no;31072945
Guinea;africa;west;no;13132792
Guinea-Bissau;africa;west;no;1967998
Liberia;africa;west;no;5057677
Mali;africa;west;no;20250834
Mauritania;africa;west;no;4649660
Niger;africa;west;no;24206636
Nigeria;africa;west;no;206139587
Saint Helena;africa;west;no;6071
Senegal;africa;west;no;16743930
Sierra Leone;africa;west;no;7976985
Togo;africa;west;no;8278736
Algeria;africa;north;no;43851043
Egypt;africa;north;no;102334403
Libya;africa;north;no;6871287
Morocco;africa;north;no;36910558
Sudan;africa;north;no;43849269
Tunisia;africa;north;no;11818618
Western Sahara;africa;north;no;597330
Armenia;asia;west;no;2963234
Azerbaijan;asia;west;no;10139175
Bahrain;asia;west;no;1701583
Cyprus;asia;west;no;1207361
Georgia;asia;west;no;3989175
Iraq;asia;west;no;40222503
Israel;asia;west;no;8655541
Jordan;asia;west;no;10203140
Kuwait;asia;west;no;4270563
Lebanon;asia;west;no;6825442
Oman;asia;west;no;5106622
Qatar;asia;west;no;2881060
Saudi Arabia;asia;west;no;34813867
State Of Palestine;asia;west;no;5101416
Syrian Arab Republic;asia;west;no;17500657
Turkey;asia;west;no;84339067
United Arab Emirates;asia;west;no;9890400
Yemen;asia;west;no;29825968
Kazakhstan;asia;central;no;18776707
Kyrgyzstan;asia;central;no;6524191
Tajikistan;asia;central;no;9537642
Turkmenistan;asia;central;no;6031187
Uzbekistan;asia;central;no;33469199
Afghanistan;asia;south;no;38928341
Bangladesh;asia;south;no;164689383
Bhutan;asia;south;no;771612
India;asia;south;no;1380004385
Iran (Islamic Republic Of);asia;south;no;83992953
Maldives;asia;south;no;540542
Nepal;asia;south;no;29136808
Pakistan;asia;south;no;220892331
Sri Lanka;asia;south;no;21413250
China;asia;east;no;1439323774
China, Hong Kong Sar;asia;east;no;7496988
China, Macao Sar;asia;east;no;649342
China, Taiwan Province Of China;asia;east;no;23816775
Dem. People'S Republic Of Korea;asia;east;no;25778815
Japan;asia;east;no;126476458
Mongolia;asia;east;no;3278292
Republic Of Korea;asia;east;no;51269183
Brunei Darussalam;asia;south-east;no;437483
Cambodia;asia;south-east;no;16718971
Indonesia;asia;south-east;no;273523621
Lao People'S Democratic Republic;asia;south-east;no;7275556
Malaysia;asia;south-east;no;32365998
Myanmar;asia;south-east;no;54409794
Philippines;asia;south-east;no;109581085
Singapore;asia;south-east;no;5850343
Thailand;asia;south-east;no;69799978
Timor-Leste;asia;south-east;no;1318442
Viet Nam;asia;south-east;no;97338583
Anguilla;america;latin;yes;15002
Antigua And Barbuda;america;latin;yes;97928
Aruba;america;latin;yes;106766
Bahamas;america;latin;yes;393248
Barbados;america;latin;yes;287371
Bonaire, Sint Eustatius And Saba;america;latin;yes;26221
British Virgin Islands;america;latin;yes;30237
Cayman Islands;america;latin;yes;65720
Cuba;america;latin;yes;11326616
Curaçao;america;latin;yes;164100
Dominica;america;latin;yes;71991
Dominican Republic;america;latin;yes;10847904
Grenada;america;latin;yes;112519
Guadeloupe;america;latin;yes;400127
Haiti;america;latin;yes;11402533
Jamaica;america;latin;yes;2961161
Martinique;america;latin;yes;375265
Montserrat;america;latin;yes;4999
Puerto Rico;america;latin;yes;2860840
Saint Barthélemy;america;latin;yes;9885
Saint Kitts And Nevis;america;latin;yes;53192
Saint Lucia;america;latin;yes;183629
Saint Martin (French Part);america;latin;yes;38659
Saint Vincent And The Grenadines;america;latin;yes;110947
Sint Maarten (Dutch Part);america;latin;yes;42882
Trinidad And Tobago;america;latin;yes;1399491
Turks And Caicos Islands;america;latin;yes;38718
United States Virgin Islands;america;latin;yes;104423
Belize;america;central;no;397621
Costa Rica;america;central;no;5094114
El Salvador;america;central;no;6486201
Guatemala;america;central;no;17915567
Honduras;america;central;no;9904608
Mexico;america;central;no;128932753
Nicaragua;america;central;no;6624554
Panama;america;central;no;4314768
Argentina;america;south;no;45195777
Bolivia (Plurinational State Of);america;south;no;11673029
Brazil;america;south;no;212559409
Chile;america;south;no;19116209
Colombia;america;south;no;50882884
Ecuador;america;south;no;17643060
Falkland Islands (Malvinas);america;south;yes;3483
French Guiana;america;south;no;298682
Guyana;america;south;no;786559
Paraguay;america;south;no;7132530
Peru;america;south;no;32971845
Suriname;america;south;no;586634
Uruguay;america;south;no;3473727
Venezuela (Bolivarian Republic Of);america;south;no;28435943
Australia;australlia;central;no;25499881
New Zealand;australlia;central;yes;4822233
Fiji;oceania;melanesia;yes;896444
New Caledonia;oceania;melanesia;yes;285491
Papua New Guinea;oceania;melanesia;yes;8947027
Solomon Islands;oceania;melanesia;yes;686878
Vanuatu;oceania;melanesia;yes;307150
Guam;oceania;micronesia;yes;168783
Kiribati;oceania;micronesia;yes;119446
Marshall Islands;oceania;micronesia;yes;59194
Micronesia (Fed. States Of);oceania;micronesia;yes;115021
Nauru;oceania;micronesia;yes;10834
Northern Mariana Islands;oceania;micronesia;yes;57557
Palau;oceania;micronesia;yes;18092
American Samoa;oceania;polynesia;yes;55197
Cook Islands;oceania;polynesia;yes;17564
French Polynesia;oceania;polynesia;yes;280904
Niue;oceania;polynesia;yes;1618
Samoa;oceania;polynesia;yes;198410
Tokelau;oceania;polynesia;yes;1350
Tonga;oceania;polynesia;yes;105697
Tuvalu;oceania;polynesia;yes;11792
Wallis And Futuna Islands;oceania;polynesia;yes;11246
Belarus;europe;east;no;9449321
Bulgaria;europe;east;no;6948445
Czechia;europe;east;no;10708982
Hungary;europe;east;no;9660350
Poland;europe;east;no;37846605
Republic Of Moldova;europe;east;no;4033963
Romania;europe;east;no;19237682
Russian Federation;europe;east;no;145934460
Slovakia;europe;east;no;5459643
Ukraine;europe;east;no;43733759
Channel Islands;europe;north;no;173859
Denmark;europe;north;no;5792203
Estonia;europe;north;no;1326539
Faroe Islands;europe;north;no;48865
Finland;europe;north;no;5540718
Iceland;europe;north;no;341250
Ireland;europe;north;no;4937796
Isle Of Man;europe;north;no;85032
Latvia;europe;north;no;1886202
Lithuania;europe;north;no;2722291
Norway;europe;north;no;5421242
Sweden;europe;north;no;10099270
United Kingdom;europe;north;no;67886004
Albania;europe;south;no;2877800
Andorra;europe;south;no;77265
Bosnia And Herzegovina;europe;south;no;3280815
Croatia;europe;south;no;4105268
Gibraltar;europe;south;no;33691
Greece;europe;south;no;10423056
Holy See;europe;south;no;809
Italy;europe;south;no;60461828
Malta;europe;south;no;441539
Montenegro;europe;south;no;628062
North Macedonia;europe;south;no;2083380
Portugal;europe;south;no;10196707
San Marino;europe;south;no;33938
Serbia;europe;south;no;8737370
Slovenia;europe;south;no;2078931
Spain;europe;south;no;46754783
Austria;europe;west;no;9006400
Belgium;europe;west;no;11589616
France;europe;west;no;65273512
Germany;europe;west;no;83783945
Liechtenstein;europe;west;no;38137
Luxembourg;europe;west;no;625976
Monaco;europe;west;no;39244
Netherlands;europe;west;no;17134873
Switzerland;europe;west;no;8654618
Bermuda;america;north;yes;62273
Canada;america;north;no;37742157
Greenland;america;north;yes;56772
Saint Pierre And Miquelon;america;north;yes;5795
United States Of America;america;north;no;331002647
